scroll,z,k,seed,cell,x,y,inside
PHercParis4,54514,18,20333429,c,16735.023003250604,17700.042444216164,1
PHercParis4,54514,18,20333429,d,16758.023003250604,17901.042444216164,1
PHercParis4,54514,19,20334429,a,16612.453887313954,17704.80507362379,1
PHercParis4,54514,19,20334429,b,16392.453887313954,17878.80507362379,1
PHercParis4,54514,19,20334429,c,16612.58494976249,17704.790163851216,1
PHercParis4,54514,19,20334429,d,16391.58494976249,17878.790163851216,1
PHercParis4,57589,0,20318504,a,17213.355892078034,18135.181100384678,1
PHercParis4,57589,0,20318504,b,17755.355892078034,17815.181100384678,1
PHercParis4,57589,0,20318504,c,17213.355892078034,18135.181100384678,1
PHercParis4,57589,0,20318504,d,17755.355892078034,17815.181100384678,1
PHercParis4,57589,1,20319504,a,17401.151194848077,18074.351157701247,1
PHercParis4,57589,1,20319504,b,17598.151194848077,18409.351157701247,1
PHercParis4,57589,1,20319504,c,17401.151194848077,18074.351157701247,1
PHercParis4,57589,1,20319504,d,17598.151194848077,18409.351157701247,1
PHercParis4,57589,2,20320504,a,17299.97952512636,17931.763490692945,1
PHercParis4,57589,2,20320504,b,17985.97952512636,17855.763490692945,1
PHercParis4,57589,2,20320504,c,17299.97952512636,17931.763490692945,1
PHercParis4,57589,2,20320504,d,17985.97952512636,17855.763490692945,1
PHercParis4,57589,3,20321504,a,17396.989950342286,18118.03260780485,1
PHercParis4,57589,3,20321504,b,17380.989950342286,18109.03260780485,1
PHercParis4,57589,3,20321504,c,17396.989950342286,18118.03260780485,1
PHercParis4,57589,3,20321504,d,17380.989950342286,18109.03260780485,1
PHercParis4,57589,4,20322504,a,17472.085782265734,17990.844449560132,1
PHercParis4,57589,4,20322504,b,17887.085782265734,17944.844449560132,1
PHercParis4,57589,4,20322504,c,17473.085782265734,17992.844449560132,1
PHercParis4,57589,4,20322504,d,17887.085782265734,17944.844449560132,1
PHercParis4,57589,5,20323504,a,17569.856405035,18100.928934940308,1
PHercParis4,57589,5,20323504,b,17669.856405035,18229.928934940308,1
PHercParis4,57589,5,20323504,c,17570.619433472835,18101.327785854883,1
PHercParis4,57589,5,20323504,d,17619.619433472835,18153.327785854883,1
PHercParis4,57589,6,20324504,a,17443.2133931944,17875.443770221606,1
PHercParis4,57589,6,20324504,b,17591.2133931944,18391.443770221606,1
PHercParis4,57589,6,20324504,c,17443.2133931944,17875.443770221606,1
PHercParis4,57589,6,20324504,d,17591.2133931944,18391.443770221606,1
PHercParis4,57589,7,20325504,a,17350.633941680793,18073.860237877707,1
PHercParis4,57589,7,20325504,b,17655.633941680793,18184.860237877707,1
PHercParis4,57589,7,20325504,c,17350.633941680793,18073.860237877707,1
PHercParis4,57589,7,20325504,d,18032.633941680793,17834.860237877707,1
PHercParis4,57589,8,20326504,a,17372.300878638034,17905.49214302054,1
PHercParis4,57589,8,20326504,b,17121.300878638034,17665.49214302054,1
PHercParis4,57589,8,20326504,c,17372.300878638034,17905.49214302054,1
PHercParis4,57589,8,20326504,d,17147.300878638034,17673.49214302054,1
PHercParis4,57589,9,20327504,a,17249.874908541067,18125.33089154849,1
PHercParis4,57589,9,20327504,b,16980.874908541067,18335.33089154849,1
PHercParis4,57589,9,20327504,c,17249.874908541067,18125.33089154849,1
PHercParis4,57589,9,20327504,d,17081.874908541067,18125.33089154849,1
PHercParis4,57589,10,20328504,a,17306.157168178634,17928.904825876944,1
PHercParis4,57589,10,20328504,b,17322.157168178634,17923.904825876944,1
PHercParis4,57589,10,20328504,c,17306.157168178634,17928.904825876944,1
PHercParis4,57589,10,20328504,d,17355.157168178634,17882.904825876944,1
PHercParis4,57589,11,20329504,a,17343.353737270478,17988.01014155885,1
PHercParis4,57589,11,20329504,b,18053.353737270478,17826.01014155885,1
PHercParis4,57589,11,20329504,c,17343.353737270478,17988.01014155885,1
PHercParis4,57589,11,20329504,d,18053.353737270478,17826.01014155885,1
PHercParis4,57589,12,20330504,a,17271.662404131504,17931.713216718443,1
PHercParis4,57589,12,20330504,b,17283.662404131504,17947.713216718443,1
PHercParis4,57589,12,20330504,c,17271.903150179303,17932.3508654687,1
PHercParis4,57589,12,20330504,d,17381.662404131504,18108.713216718443,1
PHercParis4,57589,13,20331504,a,17358.277767407926,17889.371941883033,1
PHercParis4,57589,13,20331504,b,17632.277767407926,18089.371941883033,1
PHercParis4,57589,13,20331504,c,17503.504761118045,18055.266062502622,1
