section,distance_units,weighted_sum,weighted_mean
f1 spiral,28394.708,0.07175523274182215,0.5092839414772347
f1 spiral,30846.695,0.06605061272711321,0.5092903287406525
f1 spiral,33510.419,0.0607996338807294,0.5092957260707326
f1 spiral,36404.165,0.05596619596728972,0.5093002864157566
f1 spiral,39547.798,0.051517077280755524,0.5093041390778761
f1 spiral,42962.894,0.04742170385752026,0.5093073933829035
f1 spiral,46672.896,0.04365193747121067,0.5093101417762648
f1 spiral,50703.27,0.040181880819495405,0.5093124624359856
f1 spiral,55081.682,0.036987698461066754,0.5093144214788993
f1 spiral,59838.186,0.034047452192279976,0.5093160748240255
f1 spiral,65005.431,0.03134094967008821,0.5093174697668595
f1 spiral,70618.886,0.028849605192867472,0.5093186463097632
f1 spiral,76717.084,0.026556311645095337,0.5093196382864977
f1 spiral,83341.883,0.024445322696970247,0.509320474312941
