section,p,distance_units,weighted_sum,weighted_mean
f1 spiral,1.0,19.399,5.952365382447217,0.9703131143176158
f1 spiral,1.0,21.074,5.952005419804172,0.9698797750841606
f1 spiral,1.0,22.894,5.95158688166471,0.9693990726259787
f1 spiral,1.0,24.87,5.951099646031517,0.9688650878764131
f1 spiral,1.0,27.018,5.950531771144465,0.9682710497466397
f1 spiral,1.0,29.351,5.949869157668522,0.9676091966369638
f1 spiral,1.0,31.886,5.949095145891288,0.9668706131826796
f1 spiral,1.0,34.639,5.948190034785537,0.966045037421025
f1 spiral,1.0,37.63,5.9471305069264115,0.9651206325402689
f1 spiral,1.0,40.88,5.945888939690979,0.9640837161007103
f1 spiral,1.0,44.41,5.944432578715164,0.9629184380319291
f1 spiral,1.0,48.245,5.942722543981121,0.9616063967200517
f1 spiral,1.0,52.411,5.940712631810493,0.960126179980705
f1 spiral,1.0,56.937,5.938347866975571,0.9584528145010798
f1 spiral,1.0,61.854,5.935562747466191,0.9565571031981617
f1 spiral,1.0,67.195,5.9322791092688,0.9544048245578686
f1 spiral,1.0,72.998,5.92840351856235,0.951955760934038
f1 spiral,1.0,79.301,5.923824072207765,0.9491625133358115
f1 spiral,1.0,86.149,5.918406451680292,0.9459690474441554
f1 spiral,1.0,93.589,5.911989026790907,0.9423088980136188
f1 spiral,1.0,101.67,5.904376737827379,0.9381029341974253
f1 spiral,1.0,110.45,5.895333389148495,0.9332565531750739
f1 spiral,1.0,119.988,5.884571849688238,0.9276561181185924
f1 spiral,1.0,130.349,5.871741453551859,0.9211643796681197
f1 spiral,1.0,141.605,5.856411589269089,0.9136145017533939
f1 spiral,1.0,153.833,5.838049994958823,0.9048021245881438
f1 spiral,1.0,167.117,5.81599352468366,0.8944745880500788
f1 spiral,1.0,181.549,5.789407908466634,0.8823159073579155
f1 spiral,1.0,197.226,5.7572308887711285,0.8679251365564201
f1 spiral,1.0,214.257,5.718089251406424,0.8507839337023949
f1 spiral,1.0,232.759,5.670172876776695,0.8302054283406605
f1 spiral,1.0,252.859,5.611033782378562,0.8052482620973661
f1 spiral,1.0,274.694,5.537244265382394,0.7745593873603531
f1 spiral,1.0,298.415,5.443763881616553,0.736051624367277
f1 spiral,1.0,324.184,5.204457479630005,0.6832435130761565
f1 spiral,1.0,352.178,4.720211699022784,0.6105817260388241
f1 spiral,1.0,382.59,3.985483154457646,0.5132025504475822
f1 spiral,1.0,415.628,3.693697156333015,0.47805779543413696
f1 spiral,1.0,451.519,4.097550642494121,0.5389729200021414
f1 spiral,1.0,490.51,4.340753102722102,0.5901764402885461
f1 spiral,1.0,532.867,4.164415983325757,0.6127864015853999
f1 spiral,1.0,578.882,3.9325596395109192,0.6225947089302417
f1 spiral,1.0,628.87,3.717572799525266,0.6252908224182934
f1 spiral,1.0,683.176,3.5123026778213675,0.6208190292037589
f1 spiral,1.0,742.17,3.310505989701907,0.6080389833715448
f1 spiral,1.0,806.259,3.105474367244156,0.5844097058768024
f1 spiral,1.0,875.883,2.8878249807958536,0.5443477001310829
f1 spiral,1.0,951.519,2.369469330035299,0.44940025247874865
f1 spiral,1.0,1033.686,1.9078875874897618,0.38489050322705115
f1 spiral,1.0,1122.948,1.9615457238977512,0.44920655034318424
f1 spiral,1.0,1219.919,1.7752460782521307,0.467299876771734
f1 spiral,1.0,1325.263,1.614317853980068,0.477866478538655
f1 spiral,1.0,1439.705,1.4723622451613454,0.48492647067828537
f1 spiral,1.0,1564.028,1.3456326105472203,0.48998579840970824
f1 spiral,1.0,1699.088,1.2316292151837935,0.4937699081882449
f1 spiral,1.0,1845.81,1.1285368612204534,0.4966822340812828
f1 spiral,1.0,2005.203,1.0349601261752528,0.4989693280591231
f1 spiral,1.0,2178.359,0.9497823277074595,0.5007922863978382
f1 spiral,1.0,2366.468,0.8720832266756355,0.5022617329889382
